Commit,Date,Time,Round,Config,Level,Version,Beta
d98391eb01cc16aefecdd939c11f96a77211c82a,"""2021-12-14""",11:37:34,2021,4,Release,6.11,
36198a5caed598986c39e25d9b1e6f861a526c00,"""2021-12-15""",14:10:56,2021,4,Beta,6.13,1
689ad6e4391f38f28adedfeccfaca493d809d22c,"""2022-01-12""",15:23:10,2021,4,Commit,6.13,3
c7b0d6e3e6c170cd62190af076cca02168659590,"""2022-01-12""",17:14:23,2021,4,Release,6.13,
474a339aeb649110f87b1e35a5a7a38e490b13fd,"""2022-01-25""",11:28:48,2021,4,Commit,AIM2022 Branch,
883a31e24c4dbd9a12ea289c4ea7771c0afebc3d,"""2022-02-04""",12:53:58,2021,4,Commit,6.14,2
779cefbab1c480b8b5348943395be78744a8af32,"""2022-02-15""",17:09:31,2021,4,Release,6.15,
08156b2bb7348eacd1365acb22dfc18d372228c2,"""2022-02-16""",9:51:35,2021,4,Release,6.16,
d7b5a0700e475b2680b4477c446226b0178a54dc,"""2022-02-23""",18:06:10,2021,4,Release,6.17,
ba6e0df801debaa7bac581b62de431a396eeaa78,"""2022-02-25""",18:34:52,2021,4,Beta,6.18,1
44bf5f0c8141131f37d86f3a3e32025dca32f911,"""2022-03-01""",14:35:39,2021,4,Commit,6.18,1
d7f20420c28fbc0fb25c7800ba8e397b6d82d684,"""2022-03-07""",9:08:12,2021,4,Commit,6.18,4
8da1114a5dcdcafbc5186a86476aed74a9bffac2,"""2022-03-07""",15:03:14,2021,4,Release,6.18,
a1bb4a8e5f3e19bb46839e29414d124a15fe0a56,"""2022-03-29""",11:52:23,2021,4,Beta,6.19,3
8cd5bc3c6a2b739480f465b6c27567de804c7327,"""2022-04-07""",16:13:38,2021,4,Commit,6.19,3
02b6834e0a54c90fb61f111f06e8fe7560e72fc5,"""2022-04-15""",16:48:10,2021,4,Beta,6.19,7
8e1eef6060e55c473b90160dcb770d86e051865f,"""2022-04-25""",17:27:41,2021,4,Release,6.19,
08156b2bb7348eacd1365acb22dfc18d372228c2,"""2022-02-16""",9:51:35,2022,5,Release,6.16,
d7b5a0700e475b2680b4477c446226b0178a54dc,"""2022-02-23""",18:06:10,2022,5,Release,6.17,
8da1114a5dcdcafbc5186a86476aed74a9bffac2,"""2022-03-07""",15:03:14,2022,5,Release,6.18,
8e1eef6060e55c473b90160dcb770d86e051865f,"""2022-04-25""",17:27:41,2022,5,Release,6.19,
e6651d1a8b74182451b0f851fe3617147dea725c,"""2022-08-02""",21:51:21,2022,5,Beta,6.2,10
3a66ebde11d3e13da45ab1bdebc3ab506569c768,"""2022-08-22""",12:38:30,2022,5,Commit,EndPeriodMigration Branch,
dd816ec5e2e3a6341a5d8099484657a60fcb6d8d,"""2022-10-03""",15:43:16,2022,5,Commit,CalendarYearProj Branch,
0d8dd62377c2730cc772a712fc20445daa671d75,"""2022-10-14""",14:18:21,2022,5,Commit,6.2,21
880d99cd322781bf58f8848fc1051bb4bf018edd,"""2022-10-17""",20:17:28,2022,5,Beta,6.2,24
d53e2210798afc6b6d99f8e8d56cdb613c31e66a,"""2022-10-20""",15:46:54,2022,5,Beta,6.2,26
fb1b04e05624332cf824cac2f548c78c551e2a56,"""2022-10-27""",15:51:28,2022,5,Beta,6.2,27
13bb4c8719bbbdb1ae3a99317db018d03229fc45,"""2022-11-01""",17:08:17,2022,5,Commit,HIVMigrants Branch,
f39a8db6b60b1f4e722d20c2e956668c5dc42c72,"""2022-11-02""",15:37:19,2022,5,Commit,UPDUpdates2022 Branch,
a7f58df0667dcc453dfa26482ff4cd307cb0f7f9,"""2022-11-04""",12:24:04,2022,5,Commit,6.2,29
dd5a60a7047d46f84f27dc6a8ad7995769cc62fc,"""2022-11-16""",23:25:10,2022,5,Beta,6.2,34
aa4c382504b49040573cd7fb932eb2e6bec687fc,"""2022-12-01""",12:45:24,2022,5,Commit,6.2,36
2792ffc986e6fab60b26d296bd291c539c2be1a9,"""2022-12-01""",23:38:11,2022,5,Release,6.2,
1ce58e4c8757159ffa9340f00ccb339cd6e6b66b,"""2022-12-09""",15:39:35,2022,5,Commit,GeneralDebugging Branch,
72e8a8193ad470960fe06d529a60e729dbb93cd1,"""2022-12-12""",23:43:18,2022,5,Release,6.23,
dc8419a8a99fa2a8c80b1800b4c34ddaa52e98cd,"""2022-12-16""",16:04:44,2022,5,Commit,6.24,3
ee62290c74ee722629baf3f9a2f6ce6b20bbcfcd,"""2023-01-03""",19:50:00,2022,5,Beta,6.24,4
7f8781dc54baaa83a4e446c1b56579a4e3da0386,"""2023-01-11""",11:15:58,2022,5,Commit,6.24,4
9180dc8783de2c1b493ab4e5df17dd0d1af9e0d0,"""2023-01-11""",13:48:24,2022,5,Beta,6.24,5
d22c20b7a3017db3c24b18ccc879b556e28cf220,"""2023-01-30""",20:29:47,2022,5,Release,6.25,
994c326435ea2f95cba68423ec7e0d13a2966a78,"""2023-02-02""",16:39:04,2022,5,Release,6.26,
12d8e6681a25b7de8dacd45bbd67b3b5a00704a1,"""2023-02-17""",18:36:27,2022,5,Release,6.27,
9fc0b3931701895e88cf9269cc0507c3da35a943,"""2023-02-22""",16:50:26,2022,5,Release,6.28,
7743c413807dd1f960b3b9dd98943b5b66f21bd3,"""2023-04-19""",18:41:05,2022,5,Beta,6.29,13
ea65c73d980e0e64666ce2825fe91b99fbdec386,"""2023-05-10""",18:28:24,2022,5,Release,6.29,
ea65c73d980e0e64666ce2825fe91b99fbdec386,"""2023-05-10""",18:28:24,2023,6,Release,6.29,
d579516bbe80e7e27f035bd9c2c97e7e74863b35,"""2023-06-30""",16:21:42,2023,6,Beta,6.3,5
dd96c1b1c178cd48c308a5d08eff395846be9972,"""2023-08-16""",12:35:19,2023,6,Beta,6.3,12
c043282b7566e707038532c8d672925533ce52c8,"""2023-10-18""",0:51:47,2023,6,Commit,6.3,22
ae7eb1171e168260b2dbbea764ad4097698d07f7,"""2023-10-27""",14:40:00,2023,6,Commit,GeneralDebugging Branch,
834135c0cb25cffeb1b9689ccd32528bf0a06e5e,"""2023-11-01""",14:43:06,2023,6,Commit,aim2024-dev Branch,
ef53393a10fe533d267dad96e7190494b17636ac,"""2023-11-16""",17:05:37,2023,6,Beta,6.3,24
301b1d40bba05c20284c8eb81b09be25600f1f8b,"""2023-12-07""",17:04:01,2023,6,Release,6.31,
742566594ad4a0b5138402cb8d65a7fb8daf2ed3,"""2024-01-22""",19:02:23,2023,6,Beta,6.32,3
fef3f869280491586149d12b26392a5ec63bca71,"""2024-02-08""",14:20:58,2023,6,Release,6.33,
28c9029f3e185a5f19ddaf3ed76ad37f2d3e4f5f,"""2024-03-05""",11:17:38,2023,6,Commit,mtct-update Branch,
8f7525f6f1a7fd395a124517ffd296c21e4b889a,"""2024-03-08""",14:34:53,2023,6,Commit,mtct-update Branch,
30794428d5c6db2be943cc2bbe4eede4cf5dfeb7,"""2024-03-08""",10:43:50,2023,6,Release,6.34,
48df186d21e6e6f4f716d8ce5fb52c5b68fb5926,"""2024-04-04""",15:34:12,2023,6,Release,6.35,
3207ede265ab95a8b063b69113bcb541d8cdad3f,"""2024-04-12""",14:46:54,2023,6,Release,6.36,
3207ede265ab95a8b063b69113bcb541d8cdad3f,"""2024-04-12""",14:46:54,2024,7,Release,6.36,
a40b2d61601a00d05cf33b8c410243c6da69b678,"""2024-06-27""",14:04:58,2024,7,Beta,6.37,7
e37cafdba619c23031d2de21a651d4b10dc87ab5,"""2024-07-25""",12:22:56,2024,7,Commit,GeneralDebugging Branch,
dbb2708c6ba2182fe9284f5ee51a81d066c551f3,"""2024-09-23""",12:31:53,2024,7,Commit,non-aids-excess-mort Branch,
a76b6bf338819af5ba6eb8e09dd689733ebab266,"""2024-10-08""",10:04:06,2024,7,Beta,6.37,16
65b1607c79c0a97447a970a050a3a39729c1668f,"""2024-10-24""",16:18:24,2024,7,Beta,6.37,17
ae8c17e6f8c51a1b0681257c64beffe54679c376,"""2024-11-21""",16:41:53,2024,7,Beta,6.37,20
a4bcfc507680a7ac46d259e6f165342c6a46eaa5,"""2024-11-25""",18:18:18,2024,7,Commit,aim-2025-debug,
cdde288f99b8b295b16cc60a03732a1c8f6ed56b,"""2024-11-29""",17:59:26,2024,7,Release,6.37,
f2f2986b3ce8d291cb1bb34daa35dde4a51dbc42,"""2025-01-06""",8:01:39,2024,7,Beta,6.38,5
5a7b11931a0e5198ec17671e38cb1640f2807c18,"""2025-02-21""",12:56:47,2024,7,Release,6.41,
e3cd90256937daf9b3442ab8af05c81d1ea23202,"""2025-03-26""",19:17:44,2024,7,Release,6.42,
58cc5b690a2728c2a98c55b3b20bca26adf02b57,"""2025-05-16""",9:33:07,2024,7,Commit,leapfrog-188,
