round,iso.alpha.3,snu
2022,NGA,Osun
2022,NGA,Oyo
2022,NGA,Plateau
2022,NGA,Rivers
2022,NGA,Sokoto
2022,NGA,Taraba
2022,NGA,Yobe
2022,NGA,Zamfara
2022,RWA,
2022,SLE,
2022,SSD,
2022,TZA,
2022,TGO,
2022,UGA,
2022,ZMB,
2022,ZWE,Bulawayo
2022,ZWE,Harare Chitungwiza
2022,ZWE,Manicaland
2022,ZWE,Mashonaland Central
2022,ZWE,Mashonaland East
2022,ZWE,Mashonaland West
2022,ZWE,Masvingo
2022,ZWE,Matabeleland North
2022,ZWE,Matabeleland South
2022,ZWE,Midlands
2022,AFG,
2022,ALB,
2022,DZA,
2022,ARG,
2022,ARM,
2022,AUS,
2022,AUT,
2022,AZE,
2022,BHS,
2022,BHR,
2022,BGD,
2022,BRB,
2022,BLR,
2022,BEL,
2022,BLZ,
2022,BTN,
2022,BOL,
2022,BIH,
2022,BRA,
2022,BRN,
2022,BGR,
2022,CPV,
2022,KHM,
2022,CAN,
2022,CHL,
2022,CHN,
2022,COL,
2022,COM,
2022,CRI,
2022,HRV,
2022,CUB,
2022,CYP,
2022,CZE,
2022,DNK,
2022,DJI,
2022,DOM,
2022,PRK,
2022,ECU,
2022,EGY,
2022,SLV,
2022,EST,
2022,FJI,
2022,FIN,
2022,FRA,
2022,GEO,
2022,DEU,
2022,GRC,
2022,GTM,
2022,GUY,
2022,HND,
2022,HUN,
2022,ISL,
2022,IND,
2022,IDN,
2022,IRN,
2022,IRQ,
2022,IRL,
2022,ISR,
2022,ITA,
2022,JAM,
2022,JPN,
2022,JOR,
2022,KAZ,
2022,KWT,
2022,KGZ,
2022,LAO,
2022,LVA,
2022,LBN,
2022,LBY,
2022,LTU,
2022,LUX,
2022,MDG,
2022,MYS,
2022,MDV,
2022,MLT,
2022,MRT,
2022,MUS,
2022,MEX,
2022,MDA,Left bank
2022,MDA,Right bank
2022,MNG,
2022,MNE,
2022,MAR,
2022,MMR,
2022,NPL,
2022,NLD,
2022,NZL,
2022,NIC,
2022,NER,
2022,MKD,
2022,NOR,
2022,OMN,
2022,PAK,
2022,PAN,
2022,PRY,
2022,PER,
2022,PHL,
2022,PNG,
2022,POL,
2022,PRT,
2022,QAT,
2022,KOR,
2022,ROU,
2022,RUS,
2022,SAU,
2022,SEN,
2022,SRB,
2022,SGP,
2022,SVK,
2022,SVN,
2022,SOM,
2022,ZAF,
2022,ESP,
2022,LKA,
2022,STP,
2022,SDN,
2022,SUR,
2022,SWE,
2022,CHE,
2022,SYR,
2022,TJK,
2022,THA,
2022,TLS,
2022,TTO,
2022,TUN,
2022,TUR,
2022,TKM,
2022,ARE,
2022,GBR,
2022,UKR,
2022,URY,
2022,USA,
2022,UZB,
2022,VEN,
2022,VNM,
2022,YEM,
2023,AFG,
2023,AUS,
2023,BGD,
2023,BTN,
2023,BRN,
2023,KHM,
2023,CHN,
2023,PRK,
2023,FJI,
2023,IDN,
2023,IRN,
2023,JPN,
2023,LAO,
2023,MYS,
2023,MDV,
2023,MNG,
2023,MMR,
2023,NPL,
2023,NZL,
2023,PAK,
2023,PHL,
2023,PNG,
2023,KOR,
2023,SGP,
2023,LKA,
2023,THA,
2023,TLS,
2023,VNM,
2023,BHS,
2023,BRB,
2023,BLZ,
2023,CUB,
2023,DOM,
2023,GRD,
2023,GUY,
2023,HTI,
2023,JAM,
2023,KNA,
2023,SUR,
2023,TTO,
2023,UKR,
2023,ALB,
2023,ARM,
2023,AZE,
2023,BLR,
2023,BIH,
2023,GEO,
2023,KAZ,
2023,KGZ,
2023,MDA,Left bank
2023,MDA,Right bank
2023,MNE,
2023,MKD,
2023,RUS,
2023,TJK,
2023,TKM,
2023,UZB,
2023,AGO,
2023,BWA,
2023,COM,
2023,ERI,
2023,SWZ,
2023,ETH,Addis Abeba
2023,ETH,Affar
2023,ETH,Amhara
2023,ETH,Benis Gumz
2023,ETH,Dire Dawa
2023,ETH,Gambela
2023,ETH,Harari
2023,ETH,Oromiya
2023,ETH,Sidama
2023,ETH,SNNP
2023,ETH,Somali
2023,ETH,Tigray
2023,KEN,Central
2023,KEN,Coast
2023,KEN,Eastern
2023,KEN,Nairobi
2023,KEN,North Eastern
2023,KEN,Nyanza
2023,KEN,Rift Valley
2023,KEN,Western
2023,LSO,
2023,MDG,
2023,MWI,
2023,MUS,
2023,MOZ,
2023,NAM,
2023,RWA,
2023,ZAF,
2023,SSD,
2023,TZA,
2023,UGA,
2023,ZMB,
2023,ZWE,Bulawayo
2023,ZWE,Harare Chitungwiza
2023,ZWE,Manicaland
2023,ZWE,Mashonaland Central
2023,ZWE,Mashonaland East
2023,ZWE,Mashonaland West
2023,ZWE,Masvingo
2023,ZWE,Matabeleland North
2023,ZWE,Matabeleland South
2023,ZWE,Midlands
2023,ARG,
2023,BOL,
2023,BRA,
2023,CHL,
2023,COL,
2023,CRI,
2023,ECU,
2023,SLV,
2023,GTM,
2023,HND,
2023,MEX,
2023,NIC,
2023,PAN,
2023,PRY,
2023,PER,
2023,URY,
2023,VEN,
2023,DZA,
2023,BHR,
2023,DJI,
2023,EGY,
2023,IRQ,
2023,JOR,
2023,KWT,
2023,LBN,
2023,LBY,
2023,MAR,
2023,OMN,
2023,QAT,
2023,SAU,
2023,SOM,
2023,SYR,
2023,TUN,
2023,ARE,
2023,YEM,
2023,BEN,
2023,BFA,
2023,BDI,
2023,CPV,
2023,CMR,
2023,TCD,
2023,COG,
2023,COG,
2023,CIV,
2023,COD,
2023,GNQ,
2023,GAB,
2023,GMB,
2023,GHA,
2023,GNB,
2023,GIN,
2023,LBR,
2023,MLI,
2023,MRT,
2023,NER,
2023,NGA,
2023,CAF,
2023,SEN,
2023,SLE,
2023,STP,
2023,TGO,
2023,AUT,
2023,BEL,
2023,BGR,
2023,CAN,
2023,HRV,
2023,CYP,
2023,CZE,
2023,DNK,
2023,EST,
2023,FIN,
2023,FRA,
2023,DEU,
2023,GRC,
2023,HUN,
2023,ISL,
2023,IRL,
2023,ISR,
2023,ITA,
2023,LVA,
2023,LTU,
2023,LUX,
2023,MLT,
2023,NLD,
2023,NOR,
2023,POL,
2023,PRT,
2023,ROU,
2023,SRB,
2023,SVK,
2023,SVN,
2023,ESP,
2023,SWE,
2023,CHE,
2023,TUR,
2023,GBR,
2023,USA,
2024,BGD,
2024,BRN,
2024,CHN,
2024,PRK,
2024,JPN,
2024,MYS,
2024,MDV,
2024,MMR,
2024,KOR,
2024,VNM,
2024,BLZ,
2024,CUB,
2024,JAM,
2024,KNA,
2024,SUR,
2024,TTO,
2024,BLR,
2024,BIH,
2024,RUS,
2024,TKM,
2024,UKR,
2024,MUS,
2024,NAM,
2024,BRA,
2024,CHL,
2024,SLV,
2024,NIC,
2024,URY,
2024,DZA,
2024,BHR,
2024,EGY,
2024,IRQ,
2024,JOR,
2024,KWT,
2024,LBY,
2024,OMN,
2024,QAT,
2024,SDN,
2024,ARE,
2024,CMR,
2024,GNQ,
2024,CAF,
2024,STP,
2024,AUT,
2024,BEL,
2024,BGR,
2024,CYP,
2024,CZE,
2024,HUN,
2024,ISR,
2024,LVA,
2024,NOR,
2024,POL,
2024,SVN,
2024,ESP,
2024,SWE,
2024,TUR,
2024,GBR,
2024,USA,
2024,AFG,
2024,AUS,
2024,BTN,
2024,KHM,
2024,FJI,
2024,IDN,
2024,IRN,
2024,LAO,
2024,MNG,
2024,NPL,
2024,NZL,
2024,PAK,
2024,PHL,
2024,PNG,
2024,SGP,
2024,LKA,
2024,THA,
2024,TLS,
2024,BHS,
2024,BRB,
2024,DOM,
2024,GUY,
2024,HTI,
2024,LCA,
2024,ALB,
2024,ARM,
2024,AZE,
2024,GEO,
2024,KAZ,
2024,KGZ,
2024,MDA,Left bank
2024,MDA,Right bank
2024,MNE,
2024,MKD,
2024,TJK,
2024,UZB,
2024,AGO,
2024,BWA,
2024,COM,
2024,ERI,
2024,SWZ,
2024,ETH,Addis Abeba
2024,ETH,Affar
2024,ETH,Amhara
2024,ETH,Benis Gumz
2024,ETH,Central
2024,ETH,Dire Dawa
2024,ETH,Gambela
2024,ETH,Harari
2024,ETH,Oromiya
2024,ETH,Sidama
2024,ETH,Somali
2024,ETH,South
2024,ETH,Southwest
2024,ETH,Tigray
2024,KEN,Central
2024,KEN,Coast
2024,KEN,Eastern
2024,KEN,Nairobi
2024,KEN,North Eastern
2024,KEN,Nyanza
2024,KEN,Rift Valley
2024,KEN,Western
2024,LSO,
2024,MDG,
2024,MWI,
2024,MOZ,
2024,RWA,
2024,ZAF,
2024,SSD,
2024,TZA,
2024,UGA,
2024,ZMB,
2024,ZWE,Bulawayo
2024,ZWE,Harare Chitungwiza
2024,ZWE,Manicaland
2024,ZWE,Mashonaland Central
2024,ZWE,Mashonaland East
2024,ZWE,Mashonaland West
2024,ZWE,Masvingo
2024,ZWE,Matabeleland North
2024,ZWE,Matabeleland South
2024,ZWE,Midlands
2024,ARG,
2024,BOL,
2024,COL,
2024,CRI,
2024,ECU,
2024,GTM,
2024,HND,
2024,MEX,
2024,PAN,
2024,PRY,
2024,PER,
2024,VEN,
2024,DJI,
2024,LBN,
2024,MAR,
2024,SAU,
2024,SOM,
2024,SYR,
2024,TUN,
2024,YEM,
2024,BEN,
2024,BFA,
2024,BDI,
2024,CPV,
2024,TCD,
2024,COG,
2024,CIV,
2024,COD,
2024,GAB,
2024,GMB,
2024,GHA,
2024,GIN,
2024,GNB,
2024,LBR,
2024,MLI,
2024,MRT,
2024,NGA,
2024,NER,
2024,SEN,
2024,SLE,
2024,TGO,
2024,CAN,
2024,HRV,
2024,DNK,
2024,EST,
2024,FIN,
2024,FRA,
2024,DEU,
2024,GRC,
2024,ISL,
2024,IRL,
2024,ITA,
2024,LTU,
2024,LUX,
2024,MLT,
2024,NLD,
2024,PRT,
2024,ROU,
2024,SRB,
2024,SVK,
2024,CHE,
